Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_13_26_1_all-22,0.559946,0.587061,-0.575577,-0.638028,-0.173597,-0.210044,0.315379,-0.0349084,-0.686515
UID_13_26_2_all-6,0.601615,-0.157416,-0.00981058,-0.57586,-0.175048,0.292699,-0.0571308,0.135724,0.187561
UID_13_26_3_all-21,0.798397,0.179985,-0.012651,-0.882979,-0.257344,0.253713,-0.324596,-0.334918,-0.196272
UID_13_27_1_all-24,0.746395,0.133738,-0.0781302,-0.793218,-0.105709,0.229692,0.0710098,0.0474924,0.146337
UID_13_27_2_all-4,0.436367,0.403321,-0.505322,-0.581521,-0.114017,-0.255197,0.272569,-0.156162,-0.840599
UID_13_28_1_all-19,0.439312,-0.564736,0.0807653,-0.622266,-0.271,0.328891,-0.102581,-0.331185,0.0929447
UID_13_28_2_all-28,0.341604,-0.699804,0.00650108,-0.381287,-0.0659302,0.093619,0.244647,-0.13616,0.0978187
UID_13_28_3_all-14,0.7584,0.132162,-0.0797616,-0.807109,-0.130196,0.282046,0.0257244,-0.00144701,0.114486
UID_13_29_1_all-16,0.572165,0.253033,-0.295987,-0.313509,0.218014,0.231,0.418034,0.137303,0.099947
UID_13_29_2_all-20,0.523044,-0.137686,-0.175499,-0.571507,-0.152382,0.227312,0.199879,0.0943582,0.0612602
UID_13_29_3_all-21,0.525769,-0.241149,0.14935,-0.489412,-0.262098,-0.0550036,0.0816873,-0.310764,0.10744
UID_13_29_4_all,-2.85677,1.06849,0.516131,-1.83008,1.45618,0.702904,0.630137,-0.394298,-1.34408
UID_13_30_1_all-17,0.530031,-0.260669,0.0738175,-0.390928,-0.163409,0.116219,0.427734,-0.373384,0.1728
UID_13_30_2_all-13,0.290287,-0.0751647,-0.314309,-0.232338,0.0197321,-0.792735,0.743817,-0.0468565,-0.327151
UID_13_30_3_all-21,0.467094,-0.113677,-0.379802,-0.0815449,0.0575484,0.151299,0.557739,0.283795,-0.120329
UID_13_30_4_all-6,0.521648,0.0860456,-0.124615,-0.270898,0.00237803,-0.454759,1.03317,1.0668,1.14628
UID_13_31_1_all-15,0.532322,-0.267631,0.0549298,-0.439754,-0.131219,0.0379622,0.429796,-0.371102,0.139219
UID_13_31_2_all-12,0.281278,-0.0718064,-0.307535,-0.236476,0.0463968,-0.819183,0.83249,-0.0404058,-0.288268
UID_13_31_3_all-12,0.473848,-0.123036,-0.344384,-0.0678052,-0.00109669,-0.0198192,0.351453,0.362015,-0.133934
UID_13_31_4_all-17,0.518897,0.178467,-0.313791,-0.143108,0.310034,0.156569,0.44621,0.148301,0.138728
UID_13_32_1_all-11,0.443516,-0.0519003,-0.0799963,-0.250732,0.127489,-0.385249,0.350208,-0.459388,-0.538731
UID_13_32_2_all-20,0.54395,-0.181981,0.0272048,-0.528925,-0.250134,-0.0113616,0.147565,-0.10592,-0.0651545
UID_13_32_3_all-29,0.938908,0.522485,0.0264758,-0.88974,-0.282418,0.276947,-0.463684,-0.41484,-0.206641
UID_13_33_1_all-9,0.693965,-0.0370421,-0.015438,-0.692462,-0.205339,0.270518,0.0377075,-0.0310527,0.0869737
UID_13_33_2_all-8,0.634309,0.468075,0.154025,-0.258365,-0.161579,0.363258,-0.54686,-0.192469,0.3834
UID_13_33_3_all-11,-2.9945,1.50872,0.101223,-1.77913,1.13534,0.281419,-0.158761,-0.771486,1.93794
UID_13_33_4_all-5,0.402448,0.294687,0.0660841,0.636081,-0.119994,0.168183,-0.103666,0.161549,1.03984
UID_13_34_1_all-21,0.392605,-0.113503,-0.35916,-0.173143,0.522595,-0.13824,0.344141,-0.111863,-0.150505
UID_13_34_2_all-9,0.463332,-0.444371,0.161105,-0.673148,-0.655953,0.259376,-0.246803,-0.129305,0.140138
